word
"คณะ"
"การบัญชี"
"และ"
"การจัดการ"
"มหาวิทยาลัย"
"มหาสารคาม"
"Mahasarakham"
"Business"
"School"
"Mahasarakham"
"University."
"body"
"background"
"color"
"000;"
"color"
"FFF;"
"body"
"td"
"th"
"font"
"weight"
"bold;"
