word,part_of_speechs
"เท้า","noun,verb"
"ลิขสิทธิ์","noun"
"ยี่ห้อ","noun,classifier"
"ดัง","adjective,adverb,verb"
" ",""
" ",""
" ",""
"",""
"",""
"ปล",""
" ",""
".",""
"1",""
" ",""
" ",""
"และ","conjunction"
"ปี","noun,classifier"
" ",""
"2526",""
" ",""
" ",""
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"ปี","noun,classifier"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ไทย","adjective,noun"
"มี","verb,transitive,noun,adjective"
" ",""
"ATM",""
" ",""
"เครื่อง","noun,classifier"
"แรก","adjective,adverb"
"ด้วย","adverb,preposition,conjunction,particle"
" ",""
" ",""
"โดย","preposition,prefix"
"ธนาคาร","noun"
"ไทย","adjective,noun"
"พาณิชย์","adjective,noun"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"เจ้า","pronoun,poetic,noun,adjective,classifier,interjection"
"แรก","adjective,adverb"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"นำมาใช้","verb"
"",""
"",""
"ป",""
"ล.","noun"
" ",""
"2",""
" ",""
" ",""
" ",""
" ",""
"เจอ","verb,transitive,intransitive"
"แฟน","noun"
"ที่อยู่","noun"
"ด้วยกัน","adverb,phrase"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
" ",""
"30",""
" ",""
"ปี","noun,classifier"
" ",""
" ",""
"ก็","conjunction,particle,idiom"
"จาก","preposition,adjective,verb,noun"
"บริษัท","noun,classifier"
"แรก","adjective,adverb"
"นี้","adjective"
"แห","noun"
"ละ","adjective,verb,particle,adverb"
"ค่ะ","particle"
" ",""
" ",""
"หนุ่ม","noun,adjective"
"คุ","verb,adjective"
"ม",""
"เครื่องจักร","noun"
"ใน","preposition"
"โรงงาน","noun"
" ",""
"กับ","preposition,conjunction,adverb,noun"
" ",""
"สาว","noun,adjective,verb"
"บัญชี","noun"
" ",""
" ",""
" ",""
"ขอบคุณ","phrase"
"กระทู้","noun"
"นี้","adjective"
"ค่ะ","particle"
" ",""
" ",""
"ทำให้","verb,transitive"
"ได้","verb,transitive,noun,adverb,particle"
"รำลึก","verb"
"ความหลัง","noun"
"",""
