word,part_of_speechs
"สวัสดีค่ะ","phrase"
"พี่ๆ","noun"
" ",""
"เพื่อนๆ","noun"
" ",""
"สมาชิก","noun"
"พัน","noun,adjective,verb"
"ทิป",""
" ",""
"กระทู้","noun"
"นี้","adjective"
"เป็น","verb,transitive,intransitive,prefix,conjunction,preposition"
"กระทู้","noun"
"แรก","adjective,adverb"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"รีวิว","noun"
" ",""
"ตั้งใจ","verb"
"จะ","verb,noun,adverb"
"สมัคร","verb,adjective,noun"
"สมาชิก","noun"
"ตั้ง","verb,transitive,noun,adverb,preposition,adjective,intransitive,classifier"
"นานแล้ว","adverb"
" ",""
"อยาก","noun"
"แชร์","verb"
"ไอเดีย","noun"
" ",""
"และ","conjunction"
"แรงบันดาลใจ","noun,phrase"
"อีก","adverb,adjective"
"หลายอย่าง","noun"
" ",""
"วันนี้","noun"
"ได้ฤกษ์","verb,idiom"
"ดี","adjective,interjection,adverb,noun"
" ",""
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"แชร์","verb"
"ไอเดีย","noun"
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"ทุกท่าน","adverb"
"ได้เป็น","verb"
"วิทยาทาน","noun"
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
" ",""
"ผิดพลาด","verb"
"ขออภัย","verb,transitive,intransitive,phrase"
"ด้วย","adverb,preposition,conjunction,particle"
"ค่ะ","particle"
"",""
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ค่ะ","particle"
".",""
".",""
".",""
".",""
"เห็น","verb,transitive,intransitive,adjective"
"หลาย","adjective,adverb"
"ท่าน","pronoun,classifier"
"เคยทำ","verb"
"รีวิว","noun"
"ทา","verb"
"ผนัง","noun"
" ",""
"Loft",""
" ",""
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"เยอะ","adverb"
"แล้ว","adverb,verb,pronoun"
" ",""
"วันนี้","noun"
"จะมา","verb"
"แชร์","verb"
"ไอเดีย","noun"
"วิธีทำ","noun"
"และ","conjunction"
"เทคนิค","noun,adjective"
"เล็กๆน้อยๆ","adjective,phrase"
" ",""
"ใน","preposition"
"การ","noun,adverb"
"ทาสี","verb"
" ",""
"Loft",""
" ",""
"ของ","preposition,noun,verb"
"ตัว","noun,pronoun,particle,classifier"
"โมเม","verb,adjective"
"น",""
"โต้","verb"
" ",""
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ผู้หญิง","noun,adjective"
"ตัว","noun,pronoun,particle,classifier"
"เล็กๆ","adjective"
" ",""
"ก็","conjunction,particle,idiom"
"ทำได้","adjective,verb"
" ",""
"",""
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ลองผิดลองถูก","phrase"
"ไปด้วย","verb"
"กัน","adverb,conjunction,verb,transitive,noun,pronoun"
"เลย","adverb"
"จ้า","adjective"
".",""
".",""
".",""
"",""
"วัสดุ","noun"
" ",""
"อุปกรณ์","noun"
"ที่","pronoun,preposition,noun,conjunction,prefix,particle,classifier"
"ต้องเต","noun,verb"
"รี","adjective,verb,prefix"
"ยม","noun"
"มี","verb,transitive,noun,adjective"
".",""
".",""
".",""
"",""
"1.",""
" ",""
"สี","noun,adjective,verb"
" ",""
"loft",""
" ",""
"เลือก","verb,noun"
"สี","noun,adjective,verb"
"และ","conjunction"
"แบรนด์","noun"
"แล้วแต่","verb,phrase"
"ชอบ","verb,adjective"
" ",""
"ซึ่ง","pronoun,conjunction"
"เวลา","noun,conjunction"
"ซื้อ","verb,transitive,intransitive,noun,adjective"
"สี","noun,adjective,verb"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"ทาง","noun,preposition,verb,classifier"
"แบรนด์","noun"
"จะ","verb,noun,adverb"
"แถม","conjunction,verb"
"แปรงทา","noun"
" ",""
"ไม้","noun,adjective,prefix,classifier"
"คน","noun,prefix,classifier,verb,adjective"
"สี","noun,adjective,verb"
" ",""
"และ","conjunction"
"แผ่น","noun,classifier"
"ปาด","noun,verb"
"สี","noun,adjective,verb"
"มาให้","verb"
"ด้วย","adverb,preposition,conjunction,particle"
"",""
"2.",""
" ",""
"สก๊",""
"อ","prefix"
"ต",""
"เทป","noun"
" ",""
"แบบ","noun,verb,adjective,preposition,particle,classifier"
"กาว","noun"
"ย่น","adjective,verb"
",",""
" ",""
"ลูกกลิ้ง","noun"
"สำหรับ","preposition,adjective"
"ทาสี","verb"
"รอง","verb,transitive,intransitive,adjective"
"พื้น","noun,adverb"
",",""
" ",""
"พู่กัน","noun"
"ทาสี","verb"
",",""
" ",""
"คัตเตอร์","noun"
",",""
" ",""
"กรรไกร","noun"
"",""
"",""
"ต่อไป","verb"
"มา","verb,transitive,intransitive,particle,noun,adjective,conjunction"
"เริ่ม","verb"
"ลงมือ","verb"
