word,part_of_speechs
"บัง","verb,noun"
"ทัน","noun,adverb,adjective,particle"
"โซน","noun"
"ยอน","verb"
"ดัน","verb,noun,adjective"
" ",""
"และ","conjunction"
" ",""
"BigHit",""
" ",""
"Entertainment",""
" ",""
"บริจาค","verb,noun"
"เงิน","noun,adjective"
" ",""
"100",""
" ",""
"ล้าน","noun,adjective"
"วอน","verb,noun"
" ",""
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"กับ","preposition,conjunction,adverb,noun"
" ",""
"‘",""
"416",""
" ",""
"Family’",""
"",""
"",""
"สมาชิก","noun"
"วง","noun"
"บัง","verb,noun"
"ทัน","noun,adverb,adjective,particle"
"โซน","noun"
"ยอน","verb"
"ดัน","verb,noun,adjective"
"และ","conjunction"
"ต้นสังกัด","noun"
"ของ","preposition,noun,verb"
"พวกเขา","pronoun"
" ",""
"BigHit",""
" ",""
"Ent",""
".",""
" ",""
"ได้ทำ","verb"
"การ","noun,adverb"
"บริจาค","verb,noun"
"เงิน","noun,adjective"
"จำนวน","noun,classifier"
" ",""
"100",""
" ",""
"ล้าน","noun,adjective"
"วอน","verb,noun"
" ",""
"(",""
"ประมาณ","adverb,verb"
" ",""
"3",""
" ",""
"ล้าน","noun,adjective"
"บาท","noun,classifier"
")",""
" ",""
"ให้","verb,transitive,preposition,conjunction,noun,prefix"
"กับ","preposition,conjunction,adverb,noun"
"องค์กร","noun,classifier"
"เครือข่าย","noun"
"ครอบครัว","noun,classifier"
"ผู้","noun,particle,adjective,pronoun"
"เสียชีวิต","verb,intransitive,phrase"
"จาก","preposition,adjective,verb,noun"
"เหตุการณ์","noun,phrase"
"เรือ","noun"
"เซ","verb"
"วอน","verb,noun"
" ",""
"(",""
"416",""
" ",""
"Family",""
")",""
" ",""
"โดย","preposition,prefix"
"สมาชิก","noun"
"แต่ละ","pronoun,adjective"
"คน","noun,prefix,classifier,verb,adjective"
"บริจาค","verb,noun"
"คนละ","adverb,phrase"
" ",""
"10",""
" ",""
"ล้าน","noun,adjective"
