word,spell,type,meaning
ซองใส่ถุงยางของเพื่อนอยู่ในกระเป๋ากางเกงคุณเหรอ? ฮ่า! แก้ตัวน้ำขุ่น ๆ เลยนะ ,saawngM saiL thoongR yaangM khaawngR pheuuanF yuuL naiM graL bpaoR gaangM gaehngM khoonM ruuhrR haaF gaaeF dtuaaM naamH khoonL khoonL leeuyM naH,example sentence,"That’s your friend’s condom wrapper, in your pants? Huh? You’re really digging your own grave!"
ซ่อง ,saawngF,"noun, colloquial",brothel; whore house; hideout; joint
"verb, intransitive, colloquial",[negative connotation] to assemble; to meet; to get together,,
classifier,[Numerical classifier for brothels; hideouts; gangs],,
ซ่องโจร ,saawngF jo:hnM,"noun, phrase, colloquial",thieves' den; criminal association
ซ่องสุม ,saawngF soomR,"verb, intransitive, phrase, idiom",[of a conspiracy] to assemble; to meet secretly
ซ่องโสเภณี,saawngF so:hR phaehM neeM,noun,brothel
ซ้อง,saawngH,"verb, intransitive",to sing in unison; to cry out in one voice
ซอน,saawnM,"verb, intransitive",to systematically penetrate inwards; to creep or crawl inside; to worm one's way in
ซ่อน ,saawnF,verb,to conceal or hide an item or oneself
noun,[ที่ซ่อน] sanctuary; retreat; shelter; safe-house; hideaway,,
ซ่อนเงื่อน,saawnF ngeuuanF,adjective,[is] secretive; furtive; cunning; [acts] mysteriously
ซ่อนตัว,saawnF dtuaaM,verb,to hide (oneself)
ซ่อนรูป,saawnF ruupF,verb,to cover up one's figure; conceal the figure; disguise one's shape
ซ่อนเร้น,saawnF renH,verb,conceal; cover up; hide; keep secret
ซ่อนเร้นอำพราง,saawnF renH amM phraangM,verb,to conceal; cover up
ซ่อนไว้ ,saawnF waiH,verb,hide
ซ่อนหา ,saawnF haaR,"verb, phrase, colloquial",[name of a traditional Thai game/entertainment in the past] hide and seek
ซ้อน ,saawnH,adjective,complex; detailed; delicate
adjective,double; twin; a set of two,,
adjective,in succession; one following another; accumulating,,
adjective,[is] overlapping,,
,[ทับซ้อน] overlapping,,
ซ้อนท้าย,saawnH thaaiH,verb,to sit on the back of a motorcycle
ซ้อนท้ายกลาง,saawnH thaaiH glaangM,"verb, phrase",[ซ้อนท้ายกลาง] to sit on a motorcycle as the middle passenger
ซ้อนท้ายสุด,saawnH thaaiH sootL,"verb, phrase",[ซ้อนท้ายสุด] to sit on a motorcycle as the rear passenger
ซอนนี่,saawnM neeF,"proper noun, loanword, English",Sonny [an English given name]
ซอนย่า,saawnM yaaF,"proper noun, loanword, English",Sonja; Sonya; Sonia [an English given name]
ซอฟต์แวร์ ,saawfF waaeM,"noun, loanword, English",[Thai transcription of the foreign loanword] software; application program(s) for a computer
ซอฟต์แวร์ตัวนี้ผมไม่เก๊ตเลย ,saawfF waaeM dtuaaM neeH phohmR maiF getH leeuyM,"example sentence, colloquial","[less formal] ""I can't get the hang of the software."
ซอฟท์แวร์,saawfF waaeM,,[alternate spelling of ซอฟต์แวร์ ]
ซ่อม ,saawmF,verb,to repair; to mend; to fix
ซ่อมแซม ,saawmF saaemM,verb,to renovate or fix an object
ซ่อมแซม,saawmF saaemM,noun,restitution; satisfaction of a debt
ซ่อมบำรุง,saawmF bamM roongM,verb,to repair and maintain
ซ่อมสุม,saawmF soomR,verb,to assemble; meet together; congregate; swarm; flock together; gather
ซ้อม ,saawmH,verb,to practice; to train; to rehearse; to drill
,to beat up,,
ซ้อมที่สนามไดร์ มันไม่ได้อารมณ์เหมือนตีในสนามจริง,saawmH theeF saL naamR draiM manM maiF daiF aaM rohmM meuuanR dteeM naiM saL naamR jingM,example sentence,Practicing on the driving range is not as much fun as playing on a real golf course.
ซ้อมมือ,saawmH meuuM,verb,to exercise; practise one's skill; train
ซ้อมรบ,saawmH rohpH,"verb, phrase",to maneuver; engage in a military exercise
ซอมซ่อ,saawmM saawF,adjective,[is] shabby; worn
adverb,shabbily,,
ซอมซ่อ,saawmM maH saawF,,[alternate pronunciation of ซอมซ่อ]
ซอมบา ,saawmM baaM,"proper noun, geographical","Zomba, a city in ประเทศมาลาวี (Malawi)"
ซอย ,saawyM,noun,Soi; lane; side street; alley
classifier,[numerical classifier for small street or alleys],,
verb,to pare down; to snip or trim in small amounts,,
ซอยตัน,saawyM dtanM,noun,blind alley; street with no exit
ซอยเท้า,saawyM thaaoH,"verb, phrase",to tap one's feet; take short steps
ซอยผม,saawyM phohmR,"verb, intransitive",to trim the hair
ซอยรื่นฤดี ,saawyM reuunF reuH deeM,"proper noun, geographical, phrase, formal",Soi Rune Rudee
ซอยอารีย์,saawyM aaM reeM,"proper noun, geographical, formal",[ซอยอารีย์] Aree [name of a Soi]
ซอล,saawlM,"noun, loanword, Latin","[music] sol, the fifth note of the major diatonic scale"
ซอลต์ ,saawnM,"noun, loanword, English",[Thai transcription of the foreign loanword] salt
ซอลต์เลกซิตี,saawnM laehkF siH dteeM,"proper noun, geographical","Salt Lake City, the capital city of ยูทาห์ (Utah)"
ซอส ,saawtH,"noun, loanword, English",[Thai transcription of the foreign loanword] sauce
ซอสพริก,saawtH phrikH,noun,chili sauce
ซอสมะเขือเทศ  ,saawtH maH kheuuaR thaehtF,noun,catsup; ketchup; tomato sauce
,,,
ซ้อส ,saawtH,,[alternate spelling of ซอส ]
ซอสเบอรี,saawtF buuhrM reeM,,[alternate spelling of ซาลิสเบอรี ]
ซะ,saH,"particle, colloquial",[colloquial version of เสีย —a word placed after a verb or at the end of a sentence to add emphasis or indicate a command]
ซะงั้น,saH nganH,interjection,unexpectedly; that's the way it is; suddenly
ซะหน่อย,saH naawyL,adverb,just a little bit; even a little bit; at all
ซะอีก,saH eekL,,[spoken version of เสียอีก]
ซะงั้น,saH nganH,,[alternate spelling of ซ่ะงั้น]
ซ่ะงั้น,saF nganH,adverb,"unexpectedly, just like that"
ซัก ,sakH,verb,to wash; launder
verb,to interrogate; cross-examine; inquire,,
adverb,[alternative spelling of สัก ] just; mere; even; just about; approximately,,
ซัก,sakH,,[alternate spelling of สัก ]
ซักคน ,sakH khohnM,pronoun,just one person; only one person; anyone
ซักคน,sakH khohnM,noun,just one person
ซักครู่ ,sakH khruuF,verb,"to wait a moment; to delay; to pause; ""one moment please"" — ""please wait a moment"
ซักคำ,sakH khamM,noun,not even one word
ซักซ้อม,sakH saawmH,verb,to exercise; practice
ซักน้ำ,sakH naamH,verb,to launder in water (as opposed to dry cleaning)
ซักน้ำไม่ได้ค่ะ ต้องซักแห้ง ,sakH naamH maiF daiF khaF dtawngF sakH haaengF,example sentence,"No, you must have it dry cleaned."
ซักนิด,sakH nitH,adverb,even a little bit
ซักผ้า ,sakH phaaF,verb,to do laundry; wash clothes
ซักผ้าขาว ,sakH phaaF khaaoR,noun,bleach
ซักฟอก,sakH faawkF,verb,to wash clothes; launder; clean
ซักฟอก,sakH faawkF,verb,to question; interrogate; ask
ซักรีด ,sakH reetF,"verb, intransitive",to wash and iron; to do laundry; to launder
ซักล้าง,sakH laangH,,to wash; to clean
ซักหน่อย,sakH naawyL,adverb,a little; at all
ซักแห้ง ,sakH haaengF,verb,dry clean
ซักไซ้,sakH saiH,,to interrogate; ask; question closely; inquire
ซักไซ้ไล่เลียง,sakH saiH laiF liiangM,verb,to interrogate; grill
ซักถาม ,sakH thaamR,verb,to question; interrogate; inquire; ask
ซัง,sangM,verb,[Isaan dialect] เกลียด 
noun,corncob; cob,,
classifier,[numerical classifier for corncob],,
ซั้ง,sangH,noun,fish trap
ซังเต,sangM dtaehM,noun,cooler; jail; lockup; nick
ซัด ,satH,verb,"to throw, hurl, or cast"
verb,to put the blame on each other; shift the blame on; impeach or accuse each other,,
ซัดทอด,satH thaawtF,verb,to implicate; blame on the other; impeach; accuse
ซัดสาด,satH saatL,verb,to splash; splatter; spill; scatter
ซันซัลวาดอร์,sanM sanM waaM daawM,,[alternate spelling of ซานซัลวาดอร์ ]
ซันตาเฟ่,sanM dtaaM fehF,,[alternate spelling of ซานตาเฟ่ ]
ซันติอาโก ,sanM dtiL aaM go:hM,"proper noun, geographical","Santiago, the capital city of ชิลี  (Chile)"
ซันโตโดมิงโก,sanM dto:hM do:hM mingM go:hM,,[alternate spelling of ซานโตโดมิงโก ]
ซันรูฟ,sanM ruufF,"noun, loanword, English",[Thai transcription of the foreign loanword] sunroof
ซันโฮเซ,sanM ho:hM saehM,,[alternate spelling of ซานโฮเซ ]
ซับ ,sapH,verb,to mop up; to soak up; to absorb; to blot up
"noun, loanword, English",[Thai transcription of foreign loan word] subtitle,,
ซับซาบ,sapH saapF,"verb, intransitive",to realize; become aware of; come to understand
ซับใน,sapH naiM,noun,the lining (of a coat or a dress)
ซับซ้อน ,sapH saawnH,adjective,[is] complex; complicated
ซัพพลายเออร์,sapH phlaaiM uuhrM,"noun, loanword, English",[Thai transcription for foreign loan word] supplier
ซั่มกัน,samF ganM,"verb, colloquial",to have sex
ซัมซุง,samM soongM,"noun, proper noun",[company name] Samsung
ซัมซุงขึ้นมาผงาดโลก ทิ้งคู่แข่งเจ้าอื่นอย่างไม่เห็นฝุ่น,samM soongM kheunF maaM phaL ngaatL lo:hkF thingH khuuF khaengL jaoF euunL yaangL maiF henR foonL,example sentence,Samsung has risen to become a world-class company; it has left its competition in the dust.
ซัมมิท,samM mitH,"noun, loanword, English",a summit meeting [among leaders]
,,,
ซัลเฝต,sanM faehtL,"prefix, noun, loanword, English",[Thai transcription of the foreign loanword] sulfate
ซัลฟิวริก,sanM fiuM rikH,"adjective, loanword, English",[Thai transcription of the foreign loanword] sulfuric
ซัลฟูริค,sanM fuuM rikH,,[alternate spelling of ซัลฟิวริก]
ซัลเฟต,sanM faehtF,,[alternate spelling of ซัลเฝต]
ซัลไฟด์,sanM faiM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] sulfide
ซั่ว,suaaF,adjective,[euphonious suffix]
noun,type of thin Chinese noodle,,
ซั้ว,suaaH,,[euphonious suffix]
ซา ,saaM,"verb, intransitive",to subside; abate; diminish in power
ซ่า ,saaF,"adjective, adverb",[is] fizzy; foamy; making the sound of a foaming liquid
interjection,[the sound of rushing or falling water],,
verb,"to feel a tingling or pricking sensation on the skin, especially due to an experience of terror or horror",,
verb,"to show off; to run wild; to be a ""loose cannon""; swagger",,
ซาก ,saakF,,remains; corpse; carcass
noun,[ต้นซาก] Serianthes grandiflora a hardwood used for fuel,,
noun,[ไม้ซาก] hardwood of the Serianthes grandiflora tree,,
,[ซาก ๆ] [euphonious word],,
classifier,[numerical classifier for corpses],,
ซากดึกดำบรรพ์ ,saakF deukL damM banM,noun,fossil
ซากดึกดำบรรพ์มีหลายชนิด อาจเป็นสิ่งที่มีความคงทนยากต่อการทำลาย เช่น ฟัน กระดูก หรือ เปลือก แต่ในบางสภาวะ อาจมีการเก็บรักษาซากสัตว์ทั้งตัวให้คงอยู่ได้,saakF deukL damM banM meeM laaiR chaH nitH aatL bpenM singL theeF meeM khwaamM khohngM thohnM yaakF dtaawL gaanM thamM laaiM chenF fanM graL duukL reuuR bpleuuakL dtaaeL naiM baangM saL phaaM waH aatL meeM gaanM gepL rakH saaR saakF satL thangH dtuaaM haiF khohngM yuuL daiF,example sentence,"There are many kinds of fossils. Sometimes they are highly durable items which are difficult to destroy, such as teeth, bones, or shells. However, in some situations, they represent preservation of the remains of complete animal bodies."
ซากปรักหักพัง,saakF bpaL rakL hakL phangM,"noun, phrase, formal",wreckage; ruins
ซากศพ,saakF sohpL,noun,corpse; body
ซากสลักหักพัง ,saakF saL lakL hakL phangM,noun,architectural ruins
ซาก ๆ,saakF saakF,,[ซาก ๆ] [euphonious word]
ซากุระ,saaM gooL raH,noun,Cherry blossom
noun,[ดอกซากุระ] cherry blossom flower,,
noun,[ต้นซากุระ] cherry blossom tree,,
ซากุไร,saaM gooL raiM,"proper noun, loanword, Japanese",Sakurai
ซาเกรบ,saaM graehpL,,[alternate spelling of ซาเกร็บ ]
ซาเกร็บ ,saaM grepL,"proper noun, geographical","Zagreb, the capital city of โครเอเชีย  (Croatia)"
ซาไก,saaM gaiM,proper noun,"Sakai, referring to the เซมัง ethnic minority people of the Malay peninsula"
ซาคราเมนโต ,saakF raaM maehnM dto:hM,"proper noun, geographical","Sacramento, the capital city of แคลิฟอร์เนีย (California)"
ซาง ,saangM,noun,"[ต้นซาง] the pampas grass, Dendrocalamus strictus"
noun,"[โรคซาง] follicular pharyngitis or laryngitis, a children's disease",,
ซาช่า,saaM chaaF,"proper noun, loanword, English",Sascha [a Russian given name]
ซาดิสม์,saaM ditL,"loanword, English",[Thai transcription of the foreign loanword] sadism
ซาตาน,saaM dtaanM,proper noun,[Thai transcription of foreign loanword] Satan
ซาติน,saaM dtinM,"noun, loanword, English",[Thai transcription of the foreign loanword] satin
ซาน,saanM,verb,crawl; struggle along
proper noun,San,,
ซานซม,saanM sohmM,verb,[is] desperate; pitiable; pathetic
ซ่าน ,saanF,"verb, intransitive","to diffuse or infuse, to gradually spread or absorb"
ซานซัลวาดอร์ ,saanM sanM waaM daawM,"proper noun, geographical","San Salvador, the capital city of เอลซัลวาดอร์  (El Salvador)"
ซ่านเซ็น,saanF senM,verb,to scatter; disburse; spread
ซานตาเฟ่ ,saanM dtaaM fehF,"proper noun, geographical","Santa Fe, the capital city of นิวเม็กซิโก (New Mexico)"
ซานโตโดมิงโก ,saanM dto:hM do:hM mingM go:hM,"proper noun, geographical","Santo Domingo, the capital city of สาธารณรัฐโดมินิกัน (Domincan Republic)"
ซานฟรานซิสโก,saanM fraanM sitH go:hM,"proper noun, geographical, loanword, English","San Francisco, a city in California (United States)"
ซานมารีโน ,saanM maaM reeM no:hM,"proper noun, geographical","San Marino, the capital city of ซานมารีโน  (San Marino)"
"proper noun, geographical","[ประเทศซานมารีโน] San Marino, a country in Europe",,
ซานฮวน ,saanM huaanM,"proper noun, geographical","San Juan, the capital city of เปอร์โตริโก  (Puerto Rico)"
ซานโฮเซ ,saanM ho:hM saehM,"proper noun, geographical","San Jose, the capital city of คอสตาริกา  (Costa Rica)"
ซานา ,saaM naaM,"proper noun, geographical","Sanaa, the capital city of ประเทศเยเมน (Yemen)"
ซาบ,saapF,"verb, intransitive",to be absorbed rapidly; to be permeated rapidly; to infiltrate quickly; to be suffused thoroughly
ซาบซ่าน,saapF saanF,verb,to refresh; restore; freshen; diffuse
ซาบซึ้ง,saapF seungH,"verb, transitive, intransitive, phrase",to appreciate; to be deeply impressed; to be very impressive; to appeal
ซาบซึ้ง,saapF seungH,adjective,"[is] moved, touched emotionally (by the sight of a poor child), filled with an emotion"
ซาบซึ้งใจ,saapF seungH jaiM,adjective,[ซาบซึ้งใจ] [is] impressed; appreciative
ซาฟารี,saaM faaM reeM,"noun, loanword, English",[Thai transcription of the foreign loanword] safari
ซามัว ,saaM muaaM,"proper noun, geographical",[ประเทศซามัว] Samoa
ซามูไร,saaM muuM raiM,"proper noun, loanword, Japanese",[Thai transcription of the foreign loanword] 侍; samurai; samurai warrior; Japanese warrior
ซามูเอล,saaM muuM aehnM,"proper noun, loanword",Samuel [a given name]
ซาแมนธา,saaM maaenM thaaM,"noun, proper noun, person, formal, loanword, English",Samantha [an English given name]
ซ้าย ,saaiH,"adjective, adverb",left direction (opposite of right)
adverb,[ข้างซ้าย] on the left; towards the left,,
noun,[ข้างซ้าย] left side,,
"adjective, adverb",[เบื้องซ้าย] to the left,,
,,,
ซ้ายมือ ,saaiH meuuM,"noun, adjective",left-hand
ซาร์บรืกเคิน,saapF reuukF kheernM,"proper noun, geographical","Saarbrücken, a city in Germany"
ซาร์ส,saasF,"noun, proper noun, loanword, English",SARS (Severe Acute Respiratory Syndrome)
ซารา,saaM raaM,,[alternate spelling of ซาร่าห์]
ซาราเยโว ,saaM raaM yaehM wo:hM,"proper noun, geographical","Sarajevo, the capital city of บอสเนียและเฮอร์เซโกวีนา (Bosnia and Herzegovia)"
ซาร่าห์,saaM raaF,proper noun,Sarah; Sara [an English given name]
ซาลาเปา,saaM laaM bpaoM,noun,steamed Chinese stuffed bun or dumpling
ซาลิสเบอรี ,saaM litH buuhrM reeM,"proper noun, geographical","Salisbury, a city in South Australia (Australia)"
ซาเลม ,saaM laehmM,"proper noun, geographical","Salem, the capital city of โอเรกอน (Oregon)"
ซาโลมอน,saaM lo:hM maawnM,proper noun,Solomon [a given name]
ซาว ,saaoM,verb,to wash rice in water; to wash; to rinse
"verb, loanword, English","to ""sound",,
ซาวเสียง,saaoM siiangR,verb,to sound out; poll
ซาวด์,saaoM,,[alternate spelling of ซาวนด์]
ซาวด์อะเบ๊าท์ ,saaoM aL baoH,noun,"cassette player (personal, e.g. Walkman, from the brand ""Sound-about"")"
ซาวนด์,saaM wohnM,"noun, colloquial, loanword, English",[Thai transcription of the foreign loanword] sound
ซาวนด์แทร็ค ,saaM wohnM thraekH,"noun, phrase, colloquial, loanword, English","[Thai transcription of the foreign loanword, ""soundtrack"" or เพลงประกอบภาพยนตร์]"
ซาวน่า,saaoM naaF,"noun, loanword, English",[Thai transcription of the foreign loanword] sauna
ซาวน่าเกย์ ,saaoM naaF gaehM,noun,gay sauna; gay bathhouse
ซาหริ่ม,saaM rimL,noun,sweet Thai dish make with bean threads and coconut milk.
ซาอุดิอาระเบีย ,saaM ooL diL aaM raH biiaM,"proper noun, geographical, adjective",[general] Saudi Arabia; Saudi Arabian
"proper noun, geographical","[ประเทศซาอุดิอาระเบีย] Saudi Arabia, a country in the Middle East",,
ซาฮารา,saaM haaM raaM,"proper noun, geographical",Sahara
ซาฮาราตะวันตก,saaM haaM raaM dtaL wanM dtohkL,"proper noun, geographical","Western Sahara, a country in northwest Africa"
ซ้ำ ,samH,"adjective, adverb",[is] repeated; recurrent
verb,to repeat; to recur; to reiterate,,
adverb,[ซ้ำ ๆ] again and again; over and over,,
conjunction,and,,
ซ้ำซ้อน,samH saawnH,,[is] duplicate; alike
ซ้ำซ้อน,samH saawnH,noun,a copy; a double; a duplication
ซ้ำเติม ,samH dteermM,"verb, phrase, colloquial",to repeat; to do (something) time and again; to follow up with another blow; to aggravate; to intensify; to make things worse
ซ้ำเติม,samH dteermM,adverb,repeatedly; again and again; over and over; time and again
ซ้ำไปซ้ำมา,samH bpaiM samH maaM,"adverb, phrase",repeatedly; again and againg
ซ้ำยังใช้งานให้มันแบกฟืนเหมือนกับสัตว์ที่ใช้งานตามไร่นาอีก,samH yangM chaiH ngaanM haiF manM baaekL feuunM meuuanR gapL satL theeF chaiH ngaanM dtaamM raiF naaM eekL,example sentence,"Moreover, [the horse] was used to carry firewood, like any other beast of burden working on the farm."
ซ้ำรอย,samH raawyM,,[ซ้ำรอย] to repeat
ซ้ำร้ายไปกว่านั้น,samH raaiH bpaiM gwaaL nanH,adverb,Even more than that...; Even worse than that
ซ้ำแล้วซ้ำเล่า,samH laaeoH samH laoF,adverb,repeatedly; again and again
ซ้ำแล้วซ้ำอีก,samH laaeoH samH eekL,adverb,again and again; repeatedly
ซ้ำอีก,samH eekL,adverb,again; yet one more time
ซ้ำอีกครั้ง,samH eekL khrangH,adverb,again
ซ้ำ ๆ ,samH samH,adverb,[ซ้ำ ๆ] again and again; over and over
ซ้ำซาก,saamH saakF,adverb,repetitiously; again and again; repeatedly
ซำบาย,samM baaiM,adjective,[Isaan variant (rare) of] สบาย 
ซำบายดีบ๊อ,samM baaiM deeM baawH,,"[Isaan usage, rare] ""How are you?"
ซ้ำๆ ซากๆ,saamH saamH saakF saakF,adverb,repeatedly; over and over; frequently; many times; often
ซ้ำๆซากๆ,saamH saamH saakF saakF,adverb,often; usually
ซิ ,siH,particle,"[a particle which conveys urgency, adding an imperative quality] (this is the way it is or must be)"
,"[Thai pronunciation of the English letter,] 'Z' [as named in the United States]",,
auxiliary verb,[Isaan dialect] จะ ,,
ซิ,siH,,[alternate spelling of ซี่ ]
ซิไปไส,siH bpaiM saiR,example sentence,[Isaan dialect] จะไปไหน
ซิ่,siF,,[alternate spelling of ซี่ ]
ซิก,sikH,noun,Sikh
adverb,"(of perspiration or tears, flowing) profusely; copiously; (sobbing) convulsively",,
ซิกข์,sikH,,[alternate spelling of ซิก]
ซิกซี้,sikH seeH,verb,to banter (with); to tease; to chuckle (at)
ซิกแซ็ก,sikH saekH,adjective,[is] zigzag
ซิกมันด์,sikH manM,"proper noun, person, loanword, English",Sigmund [a given name]
,,,
ซิกมันด์ ฟรอยด์ ,sikH manM fraawyM,"proper noun, person",Sigmund Freud
ซิกห์,sikH,noun,Sikh
ซิกา,siH gaaM,,[alternate spelling of ซิการ์]
ซิการ์,siH gaaM,"noun, loanword, English",[Thai transcription of the foreign loanword] cigar
ซิกาแรต,siH gaaM raaetF,"noun, loanword, English",[Thai transcription of the foreign loanword] cigarette
ซิง,singM,adjective,[ซิงๆ] [is] brand-new; novel; new
adjective,[Thai transcription and shortening of foreign loanword] single,,
ซิงๆ,singM singM,adjective,[ซิงๆ] [is] brand-new; novel; new
ซิ่ง,singF,"adjective, colloquial",[of a person] hip; up-to-date; modern; with-it; savvy; down (with it)
"verb, loanword, English","racing"" [shortened from English]",,
verb,[แต่งซิ่ง] to tune for racing,,
ซิงเกิลเกตเวย์,singM geernM gaehtL waehM,"noun, loanword, English",[Thai transcription of foreign loanword] single gateway
ซิด,sitH,"proper noun, loanword, English",Syd; Sid [an English given name]
ซิดนี่,sitH neeF,,[alternate spelling of ซิดนีย์ ]
ซิดนีย์ ,sitH neeM,"proper noun, geographical","Sydney, a city in New South Wales (Australia), the largest city in Oceania, 2000 population 3,700,000"
proper noun,Sydney; Sidney [an English given name],,
ซิตี ,siH dteeM,"noun, loanword, English",[Thai transcription of the foreign loanword] city
ซิตี้,siH dteeF,,[alternate spelling of ซิตี ]
ซิเตรต,siH dtraehtL,"formal, loanword, English",[Thai transcription of the foreign loanword] citrate
ซิทคอม,sitH khaawmM,noun,[Thai transcription of foreign loanword] sit-com; situation comedy
ซิโธรแมกซ์,siH tho:hnM maaekF,"noun, proper noun, formal, loanword, English","[Thai transcription of the foreign loanword] ""Zithromax""—แอซิโธรไมซิน (Azitromycin)"
ซิ่น ,sinF,noun,[ผ้าซิ่น] a [specific type of] wraparound dress worn in Northern Thailand
ซินดี้,sinM deeF,"proper noun, loanword, English",Cindy [an English given name]
ซินเธีย,sinM thiiaM,"proper noun, loanword, English",Cynthia [an English given name]
ซินแส ,sinM saaeR,"noun, colloquial, loanword, Chinese",doctor; physician; teacher; fortune-teller
ซิบๆ,sipH sipH,adverb,dripping; oozing (used with blood)
ซิป ,sipH,noun,zipper
ซิฟิลิส,siH fiH litH,"noun, loanword, English",[Thai transcription of the foreign loanword] syphilis
noun,[โรคซิฟิลิส] syphilis,,
ซิม,simM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] SIM; Subscriber Identity Module
ซิมการ์ด,simM gaadL,"noun, loanword, English",SIM card
ซิ้ม,simH,"noun, loanword, Chinese",[used in Chinese families] aunt
