word,spell,type,meaning
ซ.,saehnM siiatF,"noun, abbreviation",[abbreviation for เซลเซียส ] Celsius; degrees C; °C
ซ.,saehnM siiatF,abbreviation,[abbreviation for ซอย ] Soi
ซ.,saawyM,,[alternate pronunciation of ซ.]
ซ.ก.,,,[alternate spelling of ซก.]
ซ.ต.พ. ,saawM dtaawM phaawM,abbreviation,[abbreviation of ซึ่งต้องพิสูจน์] Q.E.D.
ซ.ม.,,,[alternate spelling of ซม.]
ซ.ล.,,,[alternate spelling of ซล.]
ซก.,senM dtiL gramM,"noun, abbreviation",[abbreviation for เซ็นติกรัม] centigram
ซกมก ,sohkH mohkH,"adjective, colloquial",[colloquial slang] slovenly dirty or mucky
ซครู,saH khruuM,"noun, loanword, English",[Thai transcription of the foreign loanword] screw
ซครูหัวจม,saH khruuM huaaR johmM,noun,sunken head screw
ซครูหางแบน,saH khruuM haangR baaenM,noun,thumb bolt
ซครูหางปลา,saH khruuM haangR bplaaM,noun,wing bolt
ซ้ง,sohngH,proper noun,[a common male name]
ซงอู ,sohngM uuM,noun,"[ต้นซงอู] the pomelo tree, Citrus maxima"
ซด ,sohtH,"verb, transitive",to sip a drink; to suck in
ซดยา,sohtH yaaM,verb,to take medication [in liquid form]
ซดยาพิษ,sohtH yaaM phitH,"verb, phrase",to take poison [through a drink]
ซทรอนเชียม,sohtH raawnM chiiamM,noun,"[chemistry] Strontium, Sr, atomic number 38"
ซน ,sohnM,adjective,[is] mischievous; naughty; bad
verb,to poke at a fire,,
ซนเหมือนลิง,sohnM meuuanR lingM,adjective,[is] mischievous as a monkey
ซ้น,sohnH,adjective,(of a joint) [is] dislocated; sprained
ซบ,sohpH,"verb, transitive","to nestle or bury one’s head on (a pillow, shoulder), to rest (one's face on something), to hang the head, to bend down"
ซบ,sohpH,adjective,(of the stock market) sluggish; dull; slow; slack
ซบเซา,sohpH saoM,"adjective, phrase",[economically] depressed; dispirited (as a metaphor); suffering [financial] losses
ซม,sohmM,adverb,lethargically; as in a stupor
ซมซาน,sohmM saanM,adjective,[is] pathetic; desperate
ซม.,senM dtiL maehtF,"noun, abbreviation",[abbreviation for เซ็นติเมตร ] centimeter
ซล.,senM dtiL litH,"noun, abbreviation",[abbreviation for เซ็นติลิตร] centiliter
ซวดเซ,suaatF saehM,adjective,[is] staggering; unstable; tottering
ซวดเซ,suaatF saehM,adjective,[is] unsteady; [is] unstable
ซวดเซ,suaatF saehM,verb,to stagger; muddle; walk unsteadily
ซวน,suaanM,verb,stagger; reel
ซวนเซ,suaanM saehM,verb,to stagger; reel
ซวย ,suayM,"noun, colloquial, loanword, Chinese",[แต้จิ๋ว  dialect] bad luck
ซวย ,suayM,"adjective, colloquial, loanword, Chinese",jinxed; luckless; unlucky; cursed; hapless; having bad luck
ซวาซิแลนด์ ,saH waaM siH laaenM,"proper noun, geographical","[ประเทศซวาซิแลนด์] Swaziland, a country in Africa"
ซเว่นธ์,saH wenF,"adjective, loanword, English",[Thai transcription of the foreign loanword] seventh
ซเว่นธ์เดย์แอ๊ดเวนตีส,saH wenF daehM aaetH waehnM dteetL,noun,Seventh Day Adventist
ซอ ,saawM,,[pronunciation of the 11th letter of the Thai alphabet]
ซอ ,saawM,noun,a stringed musical instrument played with a bow
ซอ ,saawM,verb,to sing
ซอ ,saawM,noun,[ซออู้] a two-stringed bass fiddle; low-pitched violin; a Thai fiddle with a sound in the alto range
ซอด้วง,saawM duaangF,noun,[ซอด้วง] Thai-style bamboo fiddle (violin)
ซอไวโอลิน,saawM waiM o:hM linM,noun,[ซอไวโอลิน] violin
ซออู้,saawM uuF,noun,[ซออู้] a two-stringed bass fiddle; low-pitched violin; a Thai fiddle with a sound in the alto range
ซอก ,saawkF,noun,lane; alley; nook; enclave; corner; niche; recess
ซอก ,saawkF,verb,to hide in a nook
ซอกซอย,saawkF saawyM,noun,lanes; alleys; footways
ซอกแซก,saawkF saaekF,verb,to take an indirect route; to pick (one's way) through
ซอกแซก,saawkF saaekF,adjective,[is] winding; indirect; crooked; tortuous
ซอกแซก,saawkF saaekF,adjective,[is] inquisitive
ซอกเกอร์,saawkF guuhrM,"noun, adjective, loanword, English",[Thai transcription of the foreign loanword] soccer
ซอกซอน,saawkF saawnM,verb,to go into hiding; conceal oneself
ซอง ,saawngM,noun,envelope; packet; package
"verb, transitive, intransitive, colloquial",[gay male slang] to keep a male partner gratified by proffering him something; usually cash,,
classifier,"[numerical classifier for packs, or packages of things]",,
ซองขาว,saawngM khaaoR,"noun, figurative",[fig.] bribe; graft; payola; pink slip; termination of employment notice
ซองขาว,saawngM khaaoR,noun,[lit.] white envelope
ซองจดหมาย ,saawngM johtL maaiR,noun,envelope
ซองจดหมายอากาศ ,saawngM johtL maaiR aaM gaatL,noun,airmail envelope
,,,
ซองบุหรี่ ,saawngM booL reeL,noun,pack of cigarettes
ซองปืน,saawngM bpeuunM,noun,holster for a gun
