word,spell,type,meaning
ฐอ ,thaawR,,[pronunciation of the 16th letter of the Thai alphabet]
ฐาน ,thaanR,"noun, formal, loanword, Pali",base; foot; pedestal; position; ground; place; station; platform; cause; reason; basis; [linguistics] origin of alphabet/consonants
ฐาน ,thaanR,adverb,on the basis of
ฐานกรณ์ ,thaanR gaawnM,"noun, plural, phrase, formal, loanword, Pali",[linguistics] the base (fixed) and speech organs (movable); articulators; sound origins
ฐานกำเนิด,thaanR gamM neertL,noun,base line; starting point
ฐานกำลัง,thaanR gamM langM,noun,[political] power base
ฐานข้อมูล,thaanR khaawF muunM,noun,database
ฐานความนิยม,thaanR khwaamM niH yohmM,noun,a base of popularity; a base of supporters; a support base
ฐานทัพ ,thaanR thapH,noun,military base
ฐานทัพเรือ ,thaanR thapH reuuaM,noun,naval base
ฐานทัพอากาศ,thaanR thapH aaM gaatL,noun,air base
ฐานที่มั่น,thaanR theeF manF,"noun, phrase, formal",base; stronghold
ฐานที่มั่นสำคัญ,thaanR theeF manF samR khanM,noun,important base; stronghold
ฐานนิยม,thaanR niH yohmM,noun,the mode (statistics)
ฐานเสียง,thaanR siiangR,noun,voting bloc; electoral base
ฐานเสียงในสภาผู้แทนราษฎร์,thaanR siiangR naiM saL phaaM phuuF thaaenM raatF,"noun, phrase",parliamentary voting bloc
ฐานทัพบก ,thaanR thapH bohkL,adjective,army base
ฐานะ ,thaaR naH,noun,"status or situation relative to others, relative position; behalf"
ฐานันดร,thaaR nanM daawnM,noun,rank of nobility; order of precedence; aristocratic
ฐานันดรที่สี่,thaaR nanM daawnM theeF seeL,,The Fourth Estate; news persons
ฐานันดรศักดิ์,thaaR nanM daawnM sakL,,rank of nobility; title
ฐิตวรรณ,thitL dtaL wanM,proper noun,Thitawan [a Thai given name]
ฐิติ,thiL dtiL,noun,livelihood; means of living; means of existence
ฐิติ,thiL dtiL,noun,location; place
ฐิติ,thiL dtiL,adjective,[is] immovable; permanent; enduring; steady
ฐิติ,thiL dtiL,noun,certainty; permanence; steadiness; stability; durability; endurance
ฐิติ,thiL dtiL,noun,law; rule; regulation; code
ฐิติภรณ์,thiL dtiL phohnM,proper noun,Thitiporn [a female given name]
