word,spell,type,meaning
ฎอ ,daawM,,[pronunciation of the 14th letter of the Thai alphabet]
ฎีกา,deeM gaaM,"noun, formal, loanword, Pali",a petition or appeal to ศาลฎีกา; petition for clemency from the King
ฎีการ้องทุกข์,deeM gaaM raawngH thookH,verb,to petition; request for appeal of grievances
