word,spell,type,meaning
ฆราวาส,khaH raaM waatF,"noun, adjective, formal, loanword, Pali",layman; laity; lay; life in the world; householder; nonclerical; nonreligious
ฆราวาสวิสัย,khaH raaM waatF wiH saiR,noun,Secularism
ฆอ ,khaawM,,[pronunciation of the 6th letter of the Thai alphabet]
ฆ้อง ,khaawngH,noun,gong cymbal
ฆ้อน ,khaawnH,"noun, archaic",hammer
ฆ่า ,khaaF,verb,to murder; kill; destroy; slay; execute; annihilate
ฆ่า ,khaaF,noun,[การฆ่า] [activity] killing
ฆ่า ,khaaF,verb,[of writing] to cross out
ฆ่า ,khaaF,adjective,[ถูกฆ่า] [is] murdered
ฆ่าเชื้อ ,khaaF cheuuaH,verb,to sterilize; disinfect; to render infertile
ฆ่าเชื้อโรค ,khaaF cheuuaH ro:hkF,verb,to disinfect; sterilize
ฆ่าด้วยก๊าซ,khaaF duayF gaasH,"verb, transitive, phrase",to gas (someone to death)
ฆ่าตัวตาย ,khaaF dtuaaM dtaaiM,verb,commit suicide
ฆ่าปิดปาก,khaaF bpitL bpaakL,verb,to kill; slay; destroy; to kill so as not to have information revealed
ฆ่าฟัน,khaaF fanM,verb,slay; slaughter; kill
ฆ่ามนุษย์,khaaF maH nootH,verb,to murder
ฆ่าล้างเผ่าพันธุ์,khaaF laangH phaoL phanM,"verb, phrase",genocide
ฆ่าเวลา,khaaF waehM laaM,verb,to kill time; spend time
ฆ่าเวลาบาปยิ่งกว่าฆ่าคน,khaaF waehM laaM baapL yingF gwaaL khaaF khohnM,example sentence,Killing time is a sin worse than murder.
ฆ่าออก ,khaaF aawkL,verb,strike out; mark out; cross out
ฆาต ,khaatF,noun,death; fate; end
ฆาต ,khaatF,noun,[การฆาต] [the activity of] killing
ฆาต ,khaatF,verb,to kill
ฆาต,khaatF dtaL,,[alternate pronunciation of ฆาต ]
ฆาตกรรม ,khaatF dtaL gamM,verb,to murder; massacre
ฆาตกรรม ,khaatF dtaL gamM,noun,murder
ฆาตกร,khaatF dtaL gaawnM,noun,murderer; killer; slayer; assassin
ฆาตกรต่อเนื่อง,khaatF dtaL gaawnM dtaawL neuuangF,noun,serial killer
เฆี่ยน,khiianF,verb,"to flog, whip"
โฆษก ,kho:hM sohkL,noun,spokesman; spokesperson; press officer; press secretary; announcer; communicator; broadcaster
โฆษกหยุดพูดกลางคันในขณะที่ผู้ฟังกำลังฟังอยู่,kho:hM sohkL yootL phuutF glaangM khanM naiM khaL naL theeF phuuF fangM gamM langM fangM yuuL,example sentence,The spokesperson stopped speaking in midstream while the audience was still listening.
โฆษณา ,kho:htF saL naaM,"noun, verb, intransitive, formal, loanword, Pali",to advertise; to campaign
โฆษณา ,kho:htF saL naaM,noun,advertisement
โฆษณา ,kho:htF saL naaM,noun,[การโฆษณา] advertisement; propaganda; bill
โฆษณาชวนเชื่อ,kho:htF saL naaM chuaanM cheuuaF,noun,propaganda
โฆษณาและหนังตัวอย่างผ่านไปหลายเรื่องแล้ว ยังไม่มีใครเดินเข้าโรงเลย,kho:htF saL naaM laeH nangR dtuaaM yaangL phaanL bpaiM laaiR reuuangF laaeoH yangM maiF meeM khraiM deernM khaoF ro:hngM leeuyM,example sentence,A lot of advertisements and trailers have already run and no one else came into the theater.
โฆษะ,kho:hM saL,adjective,[phonetics] voiced
