word,spell,type,meaning
ฌอ ,chaawM,,[pronunciation of the 12th letter of the Thai alphabet]
ฌอน ,chaawnM,"proper noun, person",Sean; Shaun; Shawn [an English given name]
ฌาน,chaanM,"noun, loanword, Pali",Dhyana; meditation; thought; concentration of mind; one-pointed meditation
ฌานสมาบัติ,chaanM saL maaM batL,noun,mindfully profound trance
ฌาปนกิจ,chaaM bpaL naH gitL,noun,cremation
ฌาปนสถาน,chaaM bpaL naH saL thaanR,noun,a crematorium
ฌาสซา,chaatF saaM,"proper noun, person",Shazza [an English female given name]
ฌาสซ่า,chaatF saaF,,[alternate spelling of ฌาสซา]
ฌีลา,cheeM laaM,"proper noun, person",Sheila [an English female given name]
ฌีล่า,cheeM laaF,,[alternate spelling of ฌีลา]
เฌลลีย์,chaehnM leeM,"proper noun, person, loanword, English",Shelley [an English given name]
เฌอ ,chuuhrM,"noun, archaic",[a type of] small tree or bush
เฌอร่า,chuuhrM raaF,proper noun,"Shera [brand name for wood substitute, fiber cement board used in Thai construction.]"
